id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,excitement_index
401135281,2019,1,postseason,2019-12-30T21:00:00.000Z,,TRUE,FALSE,46850,3810,Nissan Stadium,97,Louisville,ACC,38,"[0,10,14,14]",0.814308527,344,Mississippi State,SEC,28,"[7,7,0,14]",0.185691473,5.027030918
401135282,2019,1,postseason,2019-12-31T01:00:00.000Z,,TRUE,FALSE,65157,3948,Hard Rock Stadium,258,Virginia,ACC,28,"[7,7,0,14]",0.041476898,57,Florida,SEC,36,"[14,10,3,9]",0.958523102,2.787661083
401135283,2019,1,postseason,2019-12-31T17:00:00.000Z,,TRUE,FALSE,44138,3628,Bank of America Stadium,96,Kentucky,SEC,37,"[7,7,10,13]",0.953307884,259,Virginia Tech,ACC,30,"[10,7,10,3]",0.046692116,6.158706009
401136255,2019,1,postseason,2019-12-31T19:00:00.000Z,,TRUE,FALSE,42412,3946,Sun Bowl Stadium,9,Arizona State,Pac-12,20,"[3,6,0,11]",0.061397856,52,Florida State,ACC,14,"[0,0,14,0]",0.938602144,7.882596418
401135284,2019,1,postseason,2019-12-31T20:45:00.000Z,,TRUE,FALSE,50515,3805,Liberty Bowl Memorial Stadium,2306,Kansas State,Big 12,17,"[0,10,0,7]",0.004717252,2426,Navy,American Athletic,20,"[3,7,7,3]",0.995282748,5.822326184
401147695,2019,1,postseason,2019-12-31T21:30:00.000Z,,TRUE,FALSE,36892,3619,Arizona Stadium,2247,Georgia State,Sun Belt,17,"[7,3,7,0]",0.016546422,2751,Wyoming,Mountain West,38,"[17,7,14,0]",0.983453578,3.057751209
401135285,2019,1,postseason,2020-01-01T00:30:00.000Z,,TRUE,FALSE,60147,3604,Alamodome,251,Texas,Big 12,38,"[3,7,14,14]",0.998378042,254,Utah,Pac-12,10,"[0,0,3,7]",0.001621958,3.411276697
401135287,2019,1,postseason,2020-01-01T18:00:00.000Z,,TRUE,FALSE,45652,3886,Raymond James Stadium,2,Auburn,SEC,24,"[10,7,7,0]",0.076492968,135,Minnesota,Big Ten,31,"[10,14,0,7]",0.923507032,6.324377358
401135286,2019,1,postseason,2020-01-01T18:00:00.000Z,,TRUE,FALSE,59746,4013,Camping World Stadium,333,Alabama,SEC,35,"[7,7,7,14]",0.998440529,130,Michigan,Big Ten,16,"[10,6,0,0]",0.001559471,5.211028417
401135288,2019,1,postseason,2020-01-01T22:10:00.000Z,,TRUE,FALSE,90462,1056,Rose Bowl,275,Wisconsin,Big Ten,27,"[10,7,7,3]",0.630645408,2483,Oregon,Pac-12,28,"[7,7,7,7]",0.369354592,7.402068958
401135289,2019,1,postseason,2020-01-02T01:45:00.000Z,,TRUE,FALSE,55211,3493,Mercedes-Benz Superdome,239,Baylor,Big 12,14,"[0,0,14,0]",0.004284879,61,Georgia,SEC,26,"[3,16,7,0]",0.995715121,3.444494468
401135290,2019,1,postseason,2020-01-02T20:00:00.000Z,,TRUE,FALSE,27193,3803,Legion Field,2132,Cincinnati,American Athletic,38,"[7,10,7,14]",0.997330401,103,Boston College,ACC,6,"[0,0,6,0]",0.002669599,1.89150442
401135291,2019,1,postseason,2020-01-03T00:00:00.000Z,,TRUE,FALSE,0,3712,EverBank Field,2633,Tennessee,SEC,23,"[0,6,3,14]",0.16313979,84,Indiana,Big Ten,22,"[0,3,16,3]",0.83686021,6.660030749
401135292,2019,1,postseason,2020-01-03T20:30:00.000Z,,TRUE,FALSE,13611,3653,Albertsons Stadium,2440,Nevada,Mountain West,21,"[3,6,0,12]",0.00206854,195,Ohio,Mid-American,30,"[3,17,10,0]",0.99793146,2.788746314
401135293,2019,1,postseason,2020-01-04T16:30:00.000Z,,TRUE,FALSE,38513,3616,Amon G. Carter Stadium,2655,Tulane,American Athletic,30,"[0,6,24,0]",0.973648089,2572,Southern Mississippi,Conference USA,13,"[13,0,0,0]",0.026351911,4.724165817
401135294,2019,1,postseason,2020-01-07T00:30:00.000Z,,TRUE,FALSE,29212,3797,Ladd Peebles Stadium,193,Miami (OH),Mid-American,17,"[0,7,3,7]",0.178448706,309,Louisiana,Sun Belt,27,"[0,10,14,3]",0.821551294,3.535790407
401135295,2019,1,postseason,2020-01-14T01:00:00.000Z,,TRUE,FALSE,76885,3493,Mercedes-Benz Superdome,99,LSU,SEC,42,"[7,21,7,7]",0.984496106,228,Clemson,ACC,25,"[7,10,8,0]",0.015503894,5.187347188
401117859,2019,1,regular,2019-08-31T19:00:00.000Z,,FALSE,FALSE,26378,3806,Lincoln Financial Field,218,Temple,American Athletic,56,"[21, 14, 7, 14]",0.999983091,2083,Bucknell,,12,"[0, 9, 3, 0]",1.69E-05,0.072756942
401114233,2019,1,regular,2019-08-31T19:00:00.000Z,,FALSE,FALSE,65709,3765,Husky Stadium,264,Washington,Pac-12,47,"[21, 7, 14, 5]",0.963383642,331,Eastern Washington,,14,"[0, 7, 0, 7]",0.036616358,0.453027934
401110720,2019,1,regular,2019-08-31T19:30:00.000Z,,TRUE,FALSE,71916,5348,Mercedes-Benz Stadium,333,Alabama,SEC,42,"[0, 14, 21, 7]",0.999990885,150,Duke,ACC,3,"[0, 3, 0, 0]",9.12E-06,0.460188276
401112257,2019,1,regular,2019-08-31T19:30:00.000Z,,FALSE,FALSE,104527,3632,Beaver Stadium,213,Penn State,Big Ten,79,"[20, 24, 14, 21]",0.999963414,70,Idaho,,7,"[0, 0, 0, 7]",3.66E-05,1.709470095
401110730,2019,1,regular,2019-08-31T19:30:00.000Z,,FALSE,FALSE,85503,3853,Neyland Stadium,2633,Tennessee,SEC,30,"[14, 3, 3, 10]",0.271304256,2247,Georgia State,Sun Belt,38,"[7, 7, 7, 17]",0.728695744,4.999386101
401117857,2019,1,regular,2019-08-31T19:30:00.000Z,,FALSE,FALSE,28531,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,American Athletic,45,"[10, 14, 14, 7]",0.999953771,107,Holy Cross,,7,"[0, 7, 0, 0]",4.62E-05,0.777312769
401117494,2019,1,regular,2019-08-31T19:30:00.000Z,,FALSE,FALSE,33101,3713,Falcon Stadium,2005,Air Force,Mountain West,48,"[7, 28, 13, 0]",0.999971335,2142,Colgate,,7,"[0, 0, 7, 0]",2.87E-05,0.317942011
401110729,2019,1,regular,2019-08-31T19:30:00.000Z,,TRUE,FALSE,52183,3628,Bank of America Stadium,153,North Carolina,ACC,24,"[3, 3, 3, 15]",0.975173872,2579,South Carolina,SEC,20,"[10, 3, 7, 0]",0.024826128,5.652294346
401121934,2019,1,regular,2019-08-31T19:30:00.000Z,,FALSE,FALSE,25147,3792,Kidd Brewer Stadium,2026,Appalachian State,Sun Belt,42,"[7, 7, 14, 14]",0.999925228,2193,East Tennessee State,,7,"[0, 0, 7, 0]",7.48E-05,0.354547436
401119256,2019,1,regular,2019-08-31T19:30:00.000Z,,FALSE,FALSE,14237,3654,Brooks Stadium,324,Coastal Carolina,Sun Belt,23,"[10, 3, 0, 10]",0.119462965,2199,Eastern Michigan,Mid-American,30,"[0, 7, 16, 7]",0.880537035,5.162616894
401112245,2019,1,regular,2019-08-31T20:00:00.000Z,,FALSE,FALSE,37179,3940,Stanford Stadium,24,Stanford,Pac-12,17,"[0, 10, 0, 7]",0.893694693,77,Northwestern,Big Ten,7,"[0, 0, 0, 7]",0.106305307,5.29060024
401110721,2019,1,regular,2019-08-31T20:00:00.000Z,,FALSE,FALSE,61055,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,20,"[10, 0, 7, 3]",0.993343514,2502,Portland State,,13,"[3, 3, 0, 7]",0.006656486,1.70883512
401112435,2019,1,regular,2019-08-31T20:00:00.000Z,,FALSE,TRUE,35213,3615,Alumni Stadium,103,Boston College,ACC,35,"[7, 21, 0, 7]",0.993915306,259,Virginia Tech,ACC,28,"[7, 7, 7, 7]",0.006084694,6.457915299
401112139,2019,1,regular,2019-08-31T20:00:00.000Z,,FALSE,FALSE,54183,3784,Jones AT&T Stadium,2641,Texas Tech,Big 12,45,"[14, 14, 3, 14]",0.999573801,147,Montana State,,10,"[0, 7, 0, 3]",0.000426199,0.287172296
401112434,2019,1,regular,2019-08-31T22:00:00.000Z,,FALSE,FALSE,21671,3992,Williams Stadium,2335,Liberty,FBS Independents,0,"[0, 0, 0, 0]",0.00713606,183,Syracuse,ACC,24,"[3, 7, 7, 7]",0.99286394,2.161640881
401121935,2019,1,regular,2019-08-31T22:00:00.000Z,,FALSE,FALSE,23172,3975,Veterans Memorial Stadium,2653,Troy,Sun Belt,43,"[17, 3, 16, 7]",0.999524349,2097,Campbell,,14,"[7, 0, 0, 7]",0.000475651,0.249301981
401114245,2019,1,regular,2019-08-31T22:00:00.000Z,,FALSE,FALSE,26787,3604,Alamodome,2636,UT San Antonio,Conference USA,35,"[7, 14, 7, 7]",0.999128724,2916,Incarnate Word,,7,"[0, 7, 0, 0]",0.000871276,1.607961725
401117495,2019,1,regular,2019-08-31T22:00:00.000Z,,FALSE,FALSE,13749,3971,University Stadium,167,New Mexico,Mountain West,39,"[13, 9, 10, 7]",0.71045091,2534,Sam Houston State,,31,"[0, 16, 7, 8]",0.28954909,6.063976778
